_id,Neighborhood,Id,Estimate; Total,Margin of Error; Total
1,Allegheny Center,1,1411,196
2,Allegheny West,2,343,96
3,Allentown,3,2558.0,449.773276218
4,Arlington,4,1852.0,348.188167518
5,Arlington Heights,5,272,126
6,Banksville,6,3858.0,581.107563192
7,Bedford Dwellings,7,1349,180
8,Beechview,8,8078.0,719.658252228
9,Beltzhoover,9,1702.0,343.072878555
10,Bloomfield,10,8669.0,491.348145412
11,Bluff,11,6294.0,395.761291689
12,Bon Air,12,920,171
13,Brighton Heights,13,7421.0,560.572921216
14,Brookline,14,13160.0,943.065215136
15,California-Kirkbride,15,803,136
16,Carrick,16,10122.0,826.666196236
17,Central Business District,17,4060.0,458.026200123
18,Central Lawrenceville,18,4775.0,383.429263359
19,Central Northside,19,2892.0,345.741232716
20,Central Oakland,20,5822.0,659.416408653
21,Chartiers City,21,560,172
22,Chateau,22,3,3
23,Crafton Heights,23,3964.0,384.981817753
24,Crawford-Roberts,24,2225.0,329.528450972
25,Duquesne Heights,25,2522.0,350.750623663
26,East Allegheny,26,2095.0,284.401125174
27,East Carnegie,27,610,120
28,East Hills,28,2859.0,435.754518049
29,East Liberty,29,5537.0,612.871112062
30,Elliott,30,2491.0,405.687071522
31,Esplen,31,309,118
32,Fairywood,32,1181,238
33,Fineview,33,1270.0,285.217460896
34,Friendship,34,1840.0,268.016790519
35,Garfield,35,3966.0,397.273205741
36,Glen Hazel,36,716,231
37,Greenfield,37,7690.0,699.464795397
38,Hays,38,405,109
39,Hazelwood,39,4257.0,666.937028512
40,Highland Park,40,6810.0,870.084478657
41,Homewood North,41,3371.0,470.499734325
42,Homewood South,42,2276.0,320.068742616
43,Homewood West,43,850.0,229.139695383
44,Knoxville,44,4255.0,842.565131014
45,Larimer,45,1641.0,322.952008819
46,Lincoln Place,46,3499.0,484.242707741
47,Lincoln-Lemington-Belmar,47,4955.0,471.055198463
48,Lower Lawrenceville,48,2572.0,389.97948664
49,Manchester,49,1944.0,257.099202644
50,Marshall-Shadeland,50,6195.0,737.094295189
51,Middle Hill,51,1760.0,287.125408141
52,Morningside,52,3262.0,378.788859392
53,Mount Oliver Borough,53,3399.0,462.961121478
54,Mount Washington,54,8743.0,613.158217756
55,Mt. Oliver,55,598,138
56,New Homestead,56,973,105
57,North Oakland,57,9602.0,628.11304715
58,North Shore,58,205.0,66.7532770731
59,Northview Heights,59,1545,299
60,Oakwood,60,1058,147
61,Overbrook,61,3682.0,347.909470983
62,Perry North,62,3771.0,398.571198156
63,Perry South,63,3398.0,479.242110002
64,Point Breeze,64,5414.0,333.9550868
65,Point Breeze North,65,1732.0,261.024903026
66,Polish Hill,66,1331.0,174.315805365
67,Regent Square,67,1033,101
68,Ridgemont,68,314,109
69,Shadyside,69,13562.0,861.984918663
70,Sheraden,70,5684.0,740.850862185
71,South Oakland,71,2921.0,513.468596898
72,South Shore,72,12,14
73,South Side Flats,73,6292.0,747.59213479
74,South Side Slopes,74,4583.0,516.263498613
75,Spring Garden,75,840.0,151.558569537
76,Spring Hill-City View,76,2456.0,423.935136548
77,Squirrel Hill North,77,11336.0,767.783172516
78,Squirrel Hill South,78,16042.0,889.712313054
79,St. Clair,79,270,96
80,Stanton Heights,80,4761.0,418.092095117
81,Strip District,81,747,94
82,Summer Hill,82,1191,92
83,Swisshelm Park,83,1345,106
84,Terrace Village,84,2292.0,264.463608083
85,Troy Hill,85,2283.0,323.167139419
86,Upper Hill,86,1884.0,408.074748055
87,Upper Lawrenceville,87,2754.0,435.70861823
88,West End,88,235,138
89,West Oakland,89,1717.0,285.001754381
90,Westwood,90,3537.0,407.982842777
91,Windgap,91,1534.0,367.828764509
